4.1153235949,4.0745639966,4.0112076149,3.9379496242,3.8590357087,3.7700623766,3.6507608013,3.5218537487,3.4009903363,3.2641314874,3.106125557
4.0243945122,3.9857124029,3.9329674685,3.8557873317,3.7651945636,3.669091521,3.5458107583,3.4100621441,3.281236921,3.1472698915,3.0045219356
3.8892829756,3.8361295508,3.7757697628,3.6888873836,3.6112009689,3.5234165233,3.4161599567,3.277703103,3.151876006,3.01933511,2.8905778211
3.7124246609,3.6472101863,3.5730550904,3.5052302654,3.4383026573,3.3787535528,3.2855302777,3.1529059494,3.0171337405,2.8705615738,2.7429627629
3.4874027252,3.4043982836,3.3280082288,3.2749139556,3.2407623468,3.1987864816,3.1163670122,3.0079894175,2.8711897438,2.7205885009,2.5867516656
3.2607040197,3.1495410888,3.0583626963,3.004954221,2.9918403922,2.9696987844,2.894746883,2.7727754044,2.6766563599,2.5558077255,2.4575939899
3.050231806,2.9393939142,2.8340839813,2.7380030514,2.6709312869,2.7553222479,2.7942418325,2.4970139791,2.4161604866,2.3755520631,2.3310675747
2.8235248225,2.7331958081,2.6461370599,2.5401569531,2.4458433312,2.4296449124,2.3956868555,2.22845047,2.2354432867,2.2501198419,2.25775516
2.5871067688,2.507879999,2.4371422725,2.3425280628,2.2396754638,2.1440136672,2.0967496195,2.0994344949,2.1384672999,2.1944491498,2.2283261458
2.3535369999,2.2905813132,2.2332278421,2.1648590054,2.0926163294,2.0428180821,2.0307424058,2.0387328601,2.0675321515,2.1000831815,2.1387822371
2.1212701039,2.0840359711,2.0477021854,2.0190195288,1.9939090247,1.9691324619,1.952778961,1.9459133829,1.9356861238,1.9326838655,1.9524890322
