25.7716217041,25.6524944305,25.4343852997,25.0974559784,24.8170566559,24.522485733,23.8920993805,22.9594345093,21.9528274536,20.9235916138,19.6643352509
24.8906707764,24.7805538177,24.6743450165,24.436378479,23.9366493225,23.4203987122,22.7604732513,21.9151916504,20.8939857483,19.8252677917,18.5771961212
22.1657714844,22.0407943726,22.0758953094,22.073841095,21.7226486206,21.1167736053,20.4122657776,19.5125045776,18.4064426422,17.2562580109,16.14960289
18.2006969452,18.1667098999,18.2273159027,18.3729801178,18.4223918915,18.2666549683,17.8431549072,16.8467998505,15.4503278732,14.0928764343,12.9156389236
13.5146570206,13.7268218994,13.7920312881,13.9326877594,14.14448452,14.1884756088,13.7201347351,12.8492441177,11.7067451477,10.6019058228,9.5257730484
8.894525528,8.9470529556,8.9692668915,9.0407114029,9.2003545761,9.2253055573,8.6159191132,7.9002308846,7.5698618889,7.069776535,6.5005702972
5.5898828507,5.308339119,4.9762434959,4.7509274483,4.5623006821,3.8107514381,3.5113446713,4.5841751099,4.8318738937,4.5142703056,4.2469267845
3.9262132645,3.6529486179,3.3123421669,3.046336174,2.9112150669,2.7958414555,3.1476488113,3.8629636765,3.472966671,3.1703073978,2.978168726
3.7426376343,3.5836775303,3.4167566299,3.2422969341,3.1504855156,5.1275291443,3.195057869,3.0951898098,3.0144617558,2.9074754715,2.8543953896
5.1060795784,5.1109056473,5.1135735512,5.1619052887,5.1921443939,3.1977629662,4.9966645241,4.7527699471,4.457490921,4.2864179611,4.3173155785
7.6463308334,7.7950253487,7.9999117851,8.3478288651,8.5749168396,8.5074110031,8.4069604874,8.2691631317,8.012963295,7.8487381935,7.9244141579
